Timestamp,Angle,Velocity_reconstructed,Phase_deg,Stage
574266,-42.542,-96.574,-152.87,1
574289,-44.432,-64.849,-166.226,1
574312,-45.408,-29.718,176.812,4
574336,-45.492,4.501,158.512,4
574359,-44.819,34.018,142.587,4
574382,-43.587,56.223,130.96,4
574405,-42.01,69.999,123.363,4
574428,-40.284,75.676,118.872,4
574451,-38.557,74.683,116.705,4
574479,-36.931,69.045,116.318,4
574502,-35.459,60.871,117.306,4
574525,-34.162,51.969,119.297,4
574548,-33.039,43.637,121.875,4
574571,-32.077,36.631,124.573,4
574594,-31.258,31.245,126.939,4
574618,-30.557,27.446,128.626,4
574641,-29.946,25.015,129.455,4
574664,-29.394,23.668,129.395,4
574687,-28.872,23.141,128.491,4
574710,-28.353,23.247,126.785,4
574733,-27.817,23.896,124.249,4
574756,-27.247,25.105,120.775,4
574779,-26.631,26.966,116.227,4
574802,-25.961,29.606,110.563,4
574825,-25.228,33.108,103.977,4
574848,-24.424,37.427,96.945,4
574871,-23.538,42.314,90.034,4
574894,-22.557,47.266,83.636,3
574917,-21.474,51.551,77.819,3
574940,-20.289,54.297,72.381,3
574963,-19.025,54.67,66.947,3
574986,-17.734,52.077,61.017,3
575009,-16.499,46.359,53.938,3
575032,-15.417,37.902,44.809,3
575055,-14.582,27.618,32.455,3
575078,-14.054,16.777,15.968,3
575101,-13.842,6.73,-3.436,2
575124,-13.895,-1.417,-21.467,2
575147,-14.123,-7.068,-34.542,2
575170,-14.423,-10.285,-42.41,2
575193,-14.715,-11.74,-46.639,2
575216,-14.966,-12.511,-49.412,2
575239,-15.193,-13.76,-53.123,2
575262,-15.443,-16.395,-59.527,2
575285,-15.78,-20.804,-68.615,2
575309,-16.259,-26.741,-78.671,2
575332,-16.924,-33.39,-87.946,2
575355,-17.788,-39.593,-95.842,1
575378,-18.827,-44.176,-102.617,1
